"areaid","areaname","welfare","welfare_chld"
11010205,"Falkenberg West",28.28,38.82
11010206,"Wartenberg Süd",28.39,40.26
11010207,"Wartenberg Nord",30.61,38.63
11010308,"Zingster Straße Ost",31.77,42.14
11010309,"Zingster Straße West",36.65,49.5
11010310,"Mühlengrund",18.38,23.14
11020411,"Malchower Weg",23.65,31.29
11020412,"Hauptstraße",21.48,27.4
11020513,"Orankesee",6.21,6.75
11020514,"Große-Leege-Straße",21.81,33.59
11020515,"Landsberger Allee",23.63,31.69
11020516,"Weiße Taube",4.31,5.16
11030617,"Hohenschönhausener Straße",32.21,48.84
11030618,"Fennpfuhl West",17.66,29.06
11030619,"Fennpfuhl Ost",24.97,34.11
11030720,"Herzbergstraße",12.65,27.15
11030721,"Rüdigerstraße",15.62,20.43
11030824,"Frankfurter Allee Süd",22.4,36.25
11040925,"Victoriastadt",10.41,10.24
11040926,"Weitlingstraße",16.9,22.82
11041022,"Rosenfelder Ring",24.72,45.93
11041023,"Gensinger Straße",26.01,33.02
11041027,"Tierpark",26.05,36.05
11041128,"Sewanstraße",22.21,34.75
11051229,"Rummelsburg",13.94,11.26
11051330,"Karlshorst West",8.2,10.01
11051331,"Karlshorst Nord",7.15,5.13
11051332,"Karlshorst Süd",3.73,2.49
12103115,"Breitkopfbecken",31.29,47.23
12103116,"Hausotterplatz",33.99,47.45
12103117,"Letteplatz",33.62,48.26
12103218,"Teichstraße",29.63,44.7
12103219,"Schäfersee",32.04,49.91
12103220,"Humboldtstraße",19.78,30.65
12214125,"Waldidyll/Flughafensee",12.37,20.6
12214126,"Tegel Süd",32.95,41.26
12214421,"Reinickes Hof",29.69,44.41
12214422,"Klixstraße",46.78,57.41
12214423,"Mellerbogen",26.43,37.8
12214424,"Scharnweberstraße",39.24,56.57
12214527,"Alt-Tegel",11.99,18.68
12214528,"Tegeler Forst",4.07,0
12224229,"Konradshöhe/Tegelort",4.27,4.71
12224230,"Heiligensee",4.98,5.37
12231101,"Hermsdorf",5.16,5.31
12231102,"Frohnau",4.04,4.38
12301203,"Wittenau Süd",22,31.25
12301204,"Wittenau Nord",11.88,19.07
12301205,"Waidmannslust",9.12,9.02
12301206,"Lübars",4.74,4.09
12302107,"Schorfheidestraße",15.33,25.65
12302108,"Märkisches Zentrum",48.78,56.83
12302109,"Treuenbrietzener Straße",56.29,58.97
12302110,"Dannenwalder Weg",51.87,55.38
12302211,"Lübarser Straße",14.85,20.74
12302212,"Rollbergesiedlung",60.85,65.68
12304313,"Borsigwalde",18.18,30.41
12304314,"Ziekowstraße/Freie Scholle",11.64,15.06
